epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
78,0.5677,0.5215,0.7504597538548592,0.7489,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
79,0.5619,0.5211,0.7501768284057151,0.7487,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
80,0.5635,0.5212,0.7490451266091385,0.7474,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
81,0.5643,0.5206,0.7511670674777197,0.7499,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
82,0.5673,0.5212,0.750035365681143,0.7485,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
83,0.5611,0.5202,0.7513085302022917,0.7503,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
84,0.5683,0.5206,0.7508841420285755,0.7496,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
85,0.5583,0.5206,0.7507426793040034,0.7493,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
86,0.566,0.5205,0.7510256047531475,0.7496,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
87,0.5655,0.5203,0.7504597538548592,0.7491,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
88,0.5618,0.5208,0.7491865893337105,0.7475,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
89,0.5654,0.5208,0.7493280520582827,0.7476,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
90,0.5659,0.52,0.7511670674777197,0.75,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
91,0.5621,0.5196,0.751732918376008,0.7509,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
92,0.5683,0.5202,0.7507426793040034,0.7494,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
93,0.5592,0.5196,0.7508841420285755,0.7497,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
94,0.5676,0.5199,0.751732918376008,0.7505,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
95,0.5657,0.5205,0.7504597538548592,0.7489,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
96,0.5628,0.5197,0.7506012165794314,0.7495,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
97,0.564,0.52,0.7504597538548592,0.7491,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
98,0.5662,0.5203,0.7507426793040034,0.7493,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
99,0.5682,0.5199,0.7514499929268638,0.7502,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
100,0.5617,0.5197,0.7507426793040034,0.7494,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
1,0.6859,0.659,0.7105672655255341,0.7067,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
2,0.6391,0.5849,0.7300891215164804,0.7287,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
3,0.6133,0.5623,0.7337671523553544,0.7327,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
4,0.6046,0.5553,0.7334842269062102,0.7314,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
5,0.5995,0.5505,0.7375866459188004,0.7364,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
6,0.5991,0.5494,0.7354647050502192,0.7329,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
7,0.5974,0.5467,0.7373037204696562,0.7354,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
8,0.6001,0.5487,0.736737869571368,0.7334,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
9,0.5958,0.5459,0.73687933229594,0.7341,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
10,0.5953,0.5433,0.7412646767576744,0.7402,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
11,0.5928,0.5429,0.7411232140331023,0.7395,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
12,0.5925,0.5424,0.7414061394822464,0.7395,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
13,0.5927,0.5431,0.7397085867873815,0.737,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
14,0.5911,0.5415,0.740557363134814,0.7384,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
15,0.5916,0.5416,0.740557363134814,0.7379,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
16,0.5885,0.5399,0.742396378554251,0.7404,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
17,0.5877,0.5403,0.7421134531051068,0.7395,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
18,0.6007,0.5399,0.7433866176262555,0.7414,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
19,0.5955,0.5393,0.7426793040033951,0.7412,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
20,0.5926,0.5394,0.74437685669826,0.7425,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
21,0.5906,0.5394,0.74437685669826,0.7422,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
22,0.5915,0.5395,0.74437685669826,0.7419,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
23,0.5875,0.5391,0.7432451549016834,0.7406,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
24,0.5881,0.5379,0.7448012448719762,0.7427,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
25,0.5908,0.5368,0.7433866176262555,0.742,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
26,0.5952,0.5379,0.74437685669826,0.7424,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
27,0.5929,0.5373,0.7449427075965483,0.7431,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
28,0.5866,0.5372,0.7455085584948367,0.7434,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
29,0.5901,0.537,0.7453670957702645,0.7433,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
30,0.5885,0.5368,0.7457914839439808,0.7437,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
31,0.59,0.5378,0.7448012448719762,0.7423,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
32,0.581,0.5358,0.7463573348422691,0.7444,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
33,0.5862,0.5367,0.7460744093931249,0.7436,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
34,0.586,0.5357,0.7459329466685528,0.7439,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
35,0.5878,0.5358,0.746215872117697,0.7441,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
36,0.5878,0.5346,0.7456500212194087,0.7441,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
37,0.587,0.5353,0.7453670957702645,0.7434,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.10
